Point ID;Time;Hz [dms];V [dms];D [m];PPM Type;PPM;Pressure [mBar];Av Temp [°C];Target Easting [m];Target Northing [m];Target Elevation [m];Station Easting [m];Station Northing [m];Station Height [m];Null Measurement [m];Horz Distance [m]
CND_29;01/09/2026 16:02;" 313° 30' 25.89407""";"  80° 52' 42.00364""";264.294;Atmos PPM;0;1013.25;11.1012;175899.782;9045813.568;120.843;176089.028;9045633.904;78.939;261.111;260.947
CND_200_5;01/09/2026 16:02;" 316° 06' 23.18014""";"  77° 35' 25.02576""";562.271;Atmos PPM;0;1013.25;11.1012;175708.347;9046029.646;199.792;176089.028;9045633.904;78.939;549.185;549.117
CND_1401;01/09/2026 16:02;" 317° 46' 09.95793""";"  79° 41' 10.21945""";345.465;Atmos PPM;0;1013.25;11.1012;175860.614;9045885.583;140.799;176089.028;9045633.904;78.939;340.026;339.875
CND_1504;01/09/2026 16:02;" 320° 45' 21.97375""";"  78° 43' 30.51903""";370.088;Atmos PPM;0;1013.25;11.1012;175859.449;9045915.004;151.306;176089.028;9045633.904;78.939;362.974;362.938
CND_1603;01/09/2026 16:02;" 320° 45' 22.44790""";"  78° 43' 29.36362""";370.088;Atmos PPM;0;1013.25;11.1012;175859.45;9045915.004;151.308;176089.028;9045633.904;78.939;389.496;362.937
CND_210_5;01/09/2026 16:03;" 320° 50' 23.12871""";"  77° 01' 22.29321""";587.599;Atmos PPM;0;1013.25;11.1012;175727.49;9046077.898;210.914;176089.028;9045633.904;78.939;572.641;572.574
CND_190_6;01/09/2026 16:03;" 321° 21' 23.56136""";"  77° 52' 42.42797""";529.234;Atmos PPM;0;1013.25;11.1012;175765.948;9046038.061;190.089;176089.028;9045633.904;78.939;517.464;517.42
CND_26;01/09/2026 16:03;" 321° 48' 33.71486""";"  82° 11' 23.33911""";231.314;Atmos PPM;0;1013.25;11.1012;175947.356;9045814.029;110.376;176089.028;9045633.904;78.939;229.307;229.164
CND_30;01/09/2026 16:03;" 323° 47' 11.83102""";"  80° 41' 07.40422""";257.39;Atmos PPM;0;1013.25;11.1012;175938.989;9045838.843;120.603;176089.028;9045633.904;78.939;254.209;253.992
CND_1402;01/09/2026 16:03;" 325° 03' 30.05912""";"  79° 32' 26.91564""";340.051;Atmos PPM;0;1013.25;11.1012;175897.53;9045908.035;140.678;176089.028;9045633.904;78.939;334.538;334.393
CND_200_6;01/09/2026 16:03;" 325° 15' 02.45989""";"  77° 24' 57.15597""";553.594;Atmos PPM;0;1013.25;11.1012;175781.114;9046077.852;199.572;176089.028;9045633.904;78.939;540.325;540.279
CND_210_6;01/09/2026 16:03;" 328° 34' 39.41606""";"  76° 54' 33.89060""";582.158;Atmos PPM;0;1013.25;11.1012;175793.461;9046117.787;210.815;176089.028;9045633.904;78.939;567.059;567.011
CND_1503;01/09/2026 16:03;" 328° 44' 15.99158""";"  78° 43' 01.81275""";367.859;Atmos PPM;0;1013.25;11.1012;175901.845;9045942.282;150.92;176089.028;9045633.904;78.939;360.776;360.742
CND_34;01/09/2026 16:03;" 330° 33' 55.70379""";"  80° 30' 48.85146""";315.764;Atmos PPM;0;1013.25;11.1012;175936.001;9045905.155;130.988;176089.028;9045633.904;78.939;311.606;311.439
CND_200_7;01/09/2026 16:04;" 332° 03' 32.02784""";"  77° 26' 32.52739""";554.824;Atmos PPM;0;1013.25;11.1012;175835.325;9046112.334;199.59;176089.028;9045633.904;78.939;541.571;541.535
CND_1604;01/09/2026 16:04;" 332° 27' 35.40944""";"  78° 10' 05.03718""";397.115;Atmos PPM;0;1013.25;11.1012;175909.348;9045978.547;160.375;176089.028;9045633.904;78.939;388.706;388.669
CND_27;01/09/2026 16:04;" 332° 40' 56.14576""";"  82° 13' 54.99673""";231.131;Atmos PPM;0;1013.25;11.1012;175983.949;9045837.38;110.183;176089.028;9045633.904;78.939;229.13;229.006
CND_22;01/09/2026 16:04;" 334° 37' 11.09604""";"  80° 44' 18.78424""";259.96;Atmos PPM;0;1013.25;11.1012;175979.077;9045865.717;120.781;176089.028;9045633.904;78.939;256.724;256.566
CND_210_7;01/09/2026 16:04;" 337° 51' 17.58096""";"  77° 09' 29.63485""";585;Atmos PPM;0;1013.25;11.1012;175874.077;9046162.199;208.983;176089.028;9045633.904;78.939;570.387;570.35
CND_14;01/09/2026 16:06;" 345° 49' 43.28161""";"  85° 42' 30.40458""";155.673;Atmos PPM;0;1013.25;11.1012;176051.036;9045784.418;90.59;176089.028;9045633.904;78.939;155.246;155.235
CND_36;01/09/2026 16:06;" 346° 51' 02.67407""";"  80° 56' 13.69076""";333.035;Atmos PPM;0;1013.25;11.1012;176014.241;9045954.159;131.406;176089.028;9045633.904;78.939;328.884;328.871
CND_1803;01/09/2026 16:06;" 348° 01' 16.74303""";"  78° 12' 07.88956""";498.573;Atmos PPM;0;1013.25;11.1012;175987.779;9046111.314;180.893;176089.028;9045633.904;78.939;488.054;488.028
CND_23;01/09/2026 16:06;" 348° 36' 45.27123""";"  78° 49' 28.06060""";391.407;Atmos PPM;0;1013.25;11.1012;176013.247;9046010.328;154.81;176089.028;9045633.904;78.939;383.951;383.976
CND_20;01/09/2026 16:06;" 359° 04' 43.71283""";"  83° 57' 02.10976""";203.552;Atmos PPM;0;1013.25;11.1012;176085.791;9045836.294;100.393;176089.028;9045633.904;78.939;202.449;202.415
CND_18;01/09/2026 16:06;"   0° 50' 58.31685""";"  86° 10' 42.78890""";178.314;Atmos PPM;0;1013.25;11.1012;176091.681;9045811.799;90.825;176089.028;9045633.904;78.939;177.925;177.915
CND_17;01/09/2026 16:07;"  11° 43' 27.87824""";"  86° 38' 50.94755""";208.078;Atmos PPM;0;1013.25;11.1012;176131.255;9045837.286;91.11;176089.028;9045633.904;78.939;207.753;207.719
CND_30002;01/09/2026 18:00;" 289° 14' 44.32073""";"  79° 29' 00.51453""";723.075;Atmos PPM;0;1013.25;11.1012;175417.871;9045868.289;210.949;176089.028;9045633.904;78.939;710.915;710.906
CND_30003;01/09/2026 18:00;" 290° 56' 13.59851""";"  79° 32' 49.09706""";674.096;Atmos PPM;0;1013.25;11.1012;175469.928;9045870.835;201.27;176089.028;9045633.904;78.939;662.894;662.889
CND_30004;01/09/2026 18:00;" 291° 25' 44.42935""";"  79° 52' 56.24991""";637.676;Atmos PPM;0;1013.25;11.1012;175504.701;9045863.298;190.987;176089.028;9045633.904;78.939;627.75;627.742
CND_170_1;01/09/2026 18:00;" 298° 32' 40.91459""";"  79° 40' 26.19620""";508.768;Atmos PPM;0;1013.25;11.1012;175649.373;9045873.11;170.153;176089.028;9045633.904;78.939;500.548;500.515
CND_190_3;01/09/2026 18:00;" 298° 34' 30.25468""";"  78° 59' 19.89652""";594.723;Atmos PPM;0;1013.25;11.1012;175576.401;9045913.164;192.554;176089.028;9045633.904;78.939;583.897;583.758
CND_180_2;01/09/2026 18:01;" 298° 59' 59.18070""";"  79° 34' 23.38294""";553.867;Atmos PPM;0;1013.25;11.1012;175612.639;9045898.021;179.198;176089.028;9045633.904;78.939;544.768;544.706
CND_210_3;01/09/2026 18:01;" 302° 54' 00.18175""";"  78° 03' 48.30122""";629.476;Atmos PPM;0;1013.25;11.1012;175571.981;9045968.459;209.159;176089.028;9045633.904;78.939;616.02;615.845
CND_200_8;01/09/2026 18:01;" 303° 25' 04.08653""";"  78° 15' 52.22223""";598.442;Atmos PPM;0;1013.25;11.1012;175600.005;9045956.632;200.682;176089.028;9045633.904;78.939;586.05;585.915
CND_200_3;01/09/2026 18:01;" 303° 25' 03.47239""";"  78° 15' 52.02264""";598.443;Atmos PPM;0;1013.25;11.1012;175600.004;9045956.631;200.683;176089.028;9045633.904;78.939;586.052;585.915
CND_190_4;01/09/2026 18:01;" 304° 23' 46.96299""";"  78° 35' 20.35962""";568.321;Atmos PPM;0;1013.25;11.1012;175629.388;9045948.641;191.4;176089.028;9045633.904;78.939;557.187;557.071
CND_200_4;01/09/2026 18:01;" 309° 34' 03.87057""";"  77° 58' 10.25717""";577.866;Atmos PPM;0;1013.25;11.1012;175653.394;9045993.941;199.407;176089.028;9045633.904;78.939;565.267;565.158
CND_1602;01/09/2026 18:01;" 310° 59' 42.35655""";"  79° 10' 44.06277""";381.651;Atmos PPM;0;1013.25;11.1012;175806.12;9045879.832;150.601;176089.028;9045633.904;78.939;394.845;374.856
CND_1505;01/09/2026 18:01;" 310° 59' 42.32993""";"  79° 10' 43.92686""";381.651;Atmos PPM;0;1013.25;11.1012;175806.121;9045879.831;150.601;176089.028;9045633.904;78.939;374.89;374.856
